name1,name2,distance,foreced_redirection
Ekiti,Imo,310.073,0
Ekiti,Katsina,465.416,0
Ekiti,Kogi,190.934,0
Ekiti,Kano,572.238,0
Ekiti,Ebonyi,367.835,0
Ekiti,Oyo,162.326,0
Ekiti,Federal Capital Territory,262.673,0
Ekiti,Cameroon,985.221,0
Ekiti,Chad,1172.786,0
Ekiti,Niger,1015.147,0
Kogi,Kaduna,254.821,0
Kogi,Akwa Ibom,360.168,0
Kogi,Edo,79.178,0
Kogi,Bayelsa,359.516,0
Kogi,Yobe,697.867,0
Kogi,Borno,956.151,0
Kogi,Adamawa,612.472,0
Kogi,Benue,296.201,0
Kogi,Plateau,266.263,0
Kogi,Rivers,266.918,0
Kogi,Lagos,358.402,0
Kogi,Zamfara,493.11,0
Kogi,Delta,267.238,0
Kogi,Nassarawa,201.012,0
Kogi,Cross River,229.433,0
Kogi,Kebbi,456.188,0
Kogi,Ogun,416.313,0
Kogi,Abia,291.228,0
Kogi,Gombe,515.715,0
Kogi,Niger,226.415,0
Kogi,Taraba,385.837,0
Kogi,Kwara,258.986,0
Kogi,Imo,236.554,0
Kogi,Katsina,421.282,0
Kogi,Ekiti,190.934,0
Kogi,Kano,485.101,0
Kogi,Ebonyi,199.975,0
Kogi,Oyo,347.268,0
Kogi,Federal Capital Territory,152.043,0
Kogi,Cameroon,810.077,0
Kogi,Chad,1025.51,0
Kogi,Niger,883.666,0
Kano,Kaduna,256.523,0
Kano,Akwa Ibom,812.239,0
Kano,Edo,563.156,0
Kano,Bayelsa,842.387,0
